,clust,Customer ID,Avg Monthly Long Distance Charges,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check
16,0,3488-PGMQJ,1.78,74.5,606.55,0.0,0,14.24,620.79,1,0,0,0,0,0,0,1,1,0,0
17,0,7534-BFESC,30.87,76.1,1712.7,0.0,0,740.88,2453.58,0,0,0,1,0,0,0,1,1,0,0
18,0,8098-LLAZX,31.61,95.45,396.1,0.0,0,126.44,522.54,0,0,0,0,0,1,0,1,1,0,0
19,0,0265-EDXBD,47.34,74.9,2303.35,0.0,0,1514.88,3818.23,0,0,0,1,0,0,0,1,1,0,0
20,0,2840-XANRC,16.1,93.15,2231.05,0.0,0,386.40000000000003,2617.4500000000003,0,0,0,1,0,0,0,1,1,0,0
21,2,5020-ZSTTY,12.08,82.45,4350.1,0.0,0,652.32,5002.42,0,0,1,0,0,0,1,0,1,0,0
22,0,5804-LEPIM,13.17,70.35,139.05,0.0,0,26.34,165.39000000000001,0,0,0,0,0,1,0,1,1,0,0
23,0,0623-IIHUG,0.0,41.9,840.1,0.0,0,0.0,840.1,1,0,0,0,0,0,0,1,1,0,0
24,1,9057-MSWCO,0.0,30.75,805.1,0.0,140,0.0,945.1,1,0,0,0,0,0,1,0,0,1,0
25,1,4895-TMWIR,29.54,19.95,214.75,0.0,0,324.94,539.69,1,0,0,0,0,0,1,0,0,0,1
26,0,0533-BNWKF,42.82,85.45,4874.7,0.0,90,2355.1,7319.799999999999,0,0,1,0,0,0,0,1,1,0,0
27,0,0334-GDDSO,9.22,81.35,233.7,0.0,0,27.660000000000004,261.36,0,0,0,0,0,1,0,1,1,0,0
28,0,5564-NEMQO,35.09,75.3,75.3,0.0,20,35.09,130.39,0,0,0,0,0,1,0,1,1,0,0
29,2,6235-VDHOM,0.0,28.45,131.05,0.0,0,0.0,131.05,0,0,0,0,0,1,1,0,1,0,0
30,0,5609-CEBID,48.73,94.1,1782.4,0.0,80,974.5999999999999,2837.0,1,0,0,0,0,0,0,1,1,0,0
31,0,5956-VKDTT,45.76,74.35,334.8,0.0,0,228.79999999999998,563.6,0,0,0,0,0,1,0,1,1,0,0
32,0,0257-ZESQC,7.02,75.2,1929.35,0.0,0,189.54,2118.89,1,0,0,0,0,0,0,1,1,0,0
33,0,2865-TCHJW,48.35,89.2,346.2,0.0,0,193.4,539.6,1,0,0,0,0,0,0,1,1,0,0
34,0,5192-EBGOV,45.81,85.7,85.7,0.0,0,45.81,131.51,1,0,0,0,0,0,0,1,1,0,0
35,2,3419-SNJJD,18.39,105.25,6786.4,0.0,0,1195.3500000000001,7981.75,0,0,1,0,0,0,1,0,1,0,0
36,1,4554-YGZIH,22.92,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,0,0,1,0,0,0,1,0,0,1,0
37,0,5099-BAILX,14.52,110.75,4687.9,0.0,0,624.36,5312.259999999999,0,0,1,0,0,0,0,1,1,0,0
38,0,4913-EHYUI,48.8,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999,0,0,1,0,0,0,0,1,1,0,0
39,0,1626-ERCMM,5.31,94.55,1899.65,0.0,0,106.19999999999999,2005.8500000000001,1,0,0,0,0,0,0,1,1,0,0
40,2,5644-PDMZC,47.47,89.5,161.5,0.0,0,94.94,256.44,1,0,0,0,0,0,1,0,1,0,0
41,2,4160-AMJTL,27.95,19.65,164.3,0.0,0,223.6,387.9,1,0,0,0,0,0,1,0,1,0,0
42,0,0823-HSCDJ,0.0,49.15,2550.9,0.0,30,0.0,2580.9,1,0,0,0,0,0,0,1,1,0,0
43,0,0067-DKWBL,43.99,49.25,91.1,0.0,0,87.98,179.07999999999998,1,0,0,0,0,0,0,1,1,0,0
44,0,5244-IRFIH,27.78,94.5,3105.55,0.0,0,916.74,4022.29,1,0,0,0,0,0,0,1,1,0,0
45,1,2684-EIWEO,45.88,91.7,2758.15,0.0,0,1376.4,4134.55,1,0,0,0,0,0,1,0,0,1,0
46,0,6683-VLCTZ,44.44,98.55,1842.8,0.0,120,888.8,2851.6,1,0,0,0,0,0,0,1,1,0,0
47,0,0691-IFBQW,2.37,110.0,4874.8,0.0,0,109.02000000000001,4983.820000000001,1,0,0,0,0,0,0,1,1,0,0
48,0,3643-AHCFP,21.91,95.6,644.35,0.0,0,153.37,797.72,1,0,0,0,0,0,0,1,1,0,0
49,0,9231-ZJYAM,36.93,78.85,292.8,0.0,0,147.72,440.52,1,0,0,0,0,0,0,1,1,0,0
50,0,0727-BMPLR,37.38,100.0,5509.3,0.0,100,2055.9,7665.200000000001,1,0,0,0,0,0,0,1,1,0,0
51,0,0947-MUGVO,5.37,73.65,1463.5,0.0,0,107.4,1570.9,1,0,0,0,0,0,0,1,1,0,0
52,0,0781-LKXBR,48.71,100.5,918.6,0.0,0,438.39,1356.99,1,0,0,0,0,0,0,1,1,0,0
53,0,1907-UBQFC,5.46,72.85,688.65,0.0,30,54.6,773.25,1,0,0,0,0,0,0,1,1,0,0
54,0,6513-EECDB,36.92,73.55,73.55,0.0,0,36.92,110.47,1,0,0,0,0,0,0,1,1,0,0
55,0,7074-IEVOJ,41.9,79.4,205.05,0.0,0,125.69999999999999,330.75,1,0,0,0,0,0,0,1,1,0,0
56,0,4750-ZRXIU,6.68,84.6,360.1,0.0,0,26.72,386.82000000000005,1,0,0,0,0,0,0,1,1,0,0
57,0,7028-DVOIQ,20.83,99.05,3395.8,0.0,120,729.05,4244.85,1,0,0,0,0,0,0,1,1,0,0
58,1,4208-UFFGW,26.62,44.95,85.15,0.0,0,53.24,138.39000000000001,0,0,0,0,0,1,1,0,0,1,0
59,1,9889-TMAHG,11.57,100.3,832.35,0.0,0,92.56,924.9100000000001,1,0,0,0,0,0,1,0,0,1,0
60,0,8919-FYFQZ,0.0,30.35,1359.7,0.0,0,0.0,1359.7,1,0,0,0,0,0,0,1,1,0,0
61,0,6646-QVXLR,7.11,103.75,6383.35,0.0,0,440.82,6824.17,1,0,0,0,0,0,0,1,1,0,0
62,0,9369-XFEHK,33.19,80.6,2656.5,0.0,0,1095.27,3751.77,1,0,0,0,0,0,0,1,1,0,0
63,0,1374-DMZUI,49.5,94.3,424.45,0.0,0,198.0,622.45,0,0,0,0,0,1,0,1,1,0,0
64,0,1989-PRJHP,10.6,75.5,1893.95,0.0,0,286.2,2180.15,1,0,0,0,0,0,0,1,1,0,0
65,0,4822-RVYBB,40.45,100.6,819.4,0.0,0,323.6,1143.0,0,0,0,0,0,1,0,1,1,0,0
66,3,4184-TJFAN,25.77,88.3,273.75,0.0,0,77.31,351.06,0,0,0,0,0,1,0,1,0,0,1
67,0,4145-UQXUQ,42.93,92.1,729.95,0.0,0,343.44,1073.39,0,0,0,0,0,1,0,1,1,0,0
68,1,1236-WFCDV,11.31,90.45,1266.1,0.0,0,158.34,1424.4399999999998,1,0,0,0,0,0,1,0,0,1,0
69,0,1271-SJBGZ,0.0,43.65,526.95,0.0,0,0.0,526.95,1,0,0,0,0,0,0,1,1,0,0
70,0,4441-NIHPT,40.37,74.3,940.35,0.0,0,524.81,1465.1599999999999,1,0,0,0,0,0,0,1,1,0,0
71,2,8999-BOHSE,3.96,89.7,1047.7,0.0,0,43.56,1091.26,1,0,0,0,0,0,1,0,1,0,0
72,3,7029-RPUAV,28.18,100.45,1622.45,0.0,0,479.06,2101.51,1,0,0,0,0,0,0,1,0,1,0
73,0,8111-SLLHI,33.25,105.65,4284.8,0.0,0,1296.75,5581.55,1,0,0,0,0,0,0,1,1,0,0
74,0,5293-WXJAK,17.25,104.05,1133.65,0.0,0,189.75,1323.4,1,0,0,0,0,0,0,1,1,0,0
75,0,4086-YQSNZ,3.29,80.4,224.05,0.0,0,9.870000000000001,233.92000000000002,0,0,0,0,0,1,0,1,1,0,0
76,0,8399-YNDCH,34.62,60.05,1236.15,0.0,0,727.02,1963.17,1,0,0,0,0,0,0,1,1,0,0
77,0,5565-FILXA,38.75,96.15,1529.2,0.0,0,620.0,2149.2,1,0,0,0,0,0,0,1,1,0,0
78,1,4187-CINZD,6.13,95.25,4424.2,0.0,0,281.98,4706.18,1,0,0,0,0,0,1,0,0,1,0
79,0,6818-WOBHJ,24.13,89.6,6127.6,0.0,0,1640.84,7768.4400000000005,0,1,0,0,0,0,0,1,1,0,0
80,0,9134-CEQMF,13.63,89.5,676.7,0.0,0,95.41000000000001,772.11,0,0,0,0,0,1,0,1,1,0,0
81,0,8519-IMDHU,45.25,85.6,1345.55,0.0,0,678.75,2024.3,1,0,0,0,0,0,0,1,1,0,0
82,0,3372-KWFBM,19.18,86.6,1281.0,0.0,0,306.88,1587.88,1,0,0,0,0,0,0,1,1,0,0
83,0,7206-GZCDC,29.68,69.25,69.25,0.0,0,29.68,98.93,0,0,0,0,0,1,0,1,1,0,0
84,0,1768-ZAIFU,0.0,25.2,25.2,0.0,0,0.0,25.2,1,0,0,0,0,0,0,1,1,0,0
85,0,3793-MMFUH,19.03,95.05,1290.0,0.0,0,247.39000000000001,1537.39,1,0,0,0,0,0,0,1,1,0,0
86,0,6567-HOOPW,20.06,79.2,79.2,0.0,0,20.06,99.26,1,0,0,0,0,0,0,1,1,0,0
87,0,8621-MNIHH,2.88,94.25,3217.55,0.0,0,97.92,3315.4700000000003,1,0,0,0,0,0,0,1,1,0,0
88,3,5419-CONWX,12.68,99.8,442.85,0.0,0,50.72,493.57000000000005,1,0,0,0,0,0,0,1,0,1,0
89,0,7024-OHCCK,19.27,93.85,170.85,0.0,0,38.54,209.39,1,0,0,0,0,0,0,1,1,0,0
90,3,5357-TZHPP,30.8,84.4,732.5,0.0,0,277.2,1009.7,1,0,0,0,0,0,0,1,0,1,0
91,3,0506-LVNGN,42.33,75.55,349.65,0.0,0,211.64999999999998,561.3,1,0,0,0,0,0,0,1,0,1,0
92,0,9809-IMGCQ,40.18,96.7,2082.95,0.0,100,883.96,3066.91,0,0,0,0,1,0,0,1,1,0,0
93,0,3254-YRILK,39.97,88.2,1775.8,0.0,0,759.43,2535.23,0,0,0,0,1,0,0,1,1,0,0
94,2,0529-ONKER,46.38,75.65,1146.65,0.0,0,695.7,1842.3500000000001,0,0,0,0,1,0,1,0,1,0,0
95,0,5240-IJOQT,11.34,74.7,74.7,0.0,0,11.34,86.04,1,0,0,0,0,0,0,1,1,0,0
96,3,0661-XEYAN,0.0,25.8,25.8,0.0,20,0.0,45.8,1,0,0,0,0,0,0,1,0,0,1
97,0,2660-EMUBI,41.37,95.35,898.35,0.0,0,413.7,1312.05,0,0,0,0,1,0,0,1,1,0,0
98,2,7675-OZCZG,30.14,45.0,127.1,0.0,10,90.42,227.51999999999998,1,0,0,0,0,0,1,0,1,0,0
99,0,9391-EOYLI,6.97,80.45,950.2,0.0,0,83.64,1033.8400000000001,0,0,0,0,1,0,0,1,1,0,0
100,0,2761-OCIAX,6.51,74.7,165.4,0.0,0,13.02,178.42000000000002,1,0,0,0,0,0,0,1,1,0,0
101,0,3068-OMWZA,49.6,88.8,88.8,0.0,10,49.6,148.4,1,0,0,0,0,0,0,1,1,0,0
102,0,4154-AQUGT,1.47,89.05,1169.35,0.0,0,19.11,1188.4599999999998,0,0,0,0,1,0,0,1,1,0,0
103,0,8017-LXHFA,31.17,94.75,2293.6,0.0,0,716.9100000000001,3010.51,0,0,0,0,1,0,0,1,1,0,0
104,0,4248-QPAVC,36.82,85.35,1463.45,0.0,0,625.94,2089.3900000000003,0,0,0,0,1,0,0,1,1,0,0
105,0,4690-LLKUA,40.93,45.05,770.6,0.0,0,695.81,1466.4099999999999,1,0,0,0,0,0,0,1,1,0,0
106,0,9490-DFPMD,9.53,84.65,3541.35,0.0,0,400.26,3941.6099999999997,1,0,0,0,0,0,0,1,1,0,0
107,0,8580-AECUZ,42.3,79.1,79.1,0.0,0,42.3,121.39999999999999,1,0,0,0,0,0,0,1,1,0,0
108,3,5047-LHVLY,39.78,50.15,50.15,0.0,0,39.78,89.93,0,0,0,0,0,1,0,1,0,0,1
109,0,8375-DKEBR,34.51,69.6,69.6,0.0,0,34.51,104.10999999999999,0,0,0,0,0,1,0,1,1,0,0
110,0,7279-BUYWN,27.95,113.2,4689.5,0.0,0,1145.95,5835.45,1,0,0,0,0,0,0,1,1,0,0
111,0,7156-MHUGY,26.11,90.5,1201.15,29.84,140,339.43,1650.7400000000002,1,0,0,0,0,0,0,1,1,0,0
112,0,9606-PBKBQ,5.99,85.0,2642.05,49.57,0,191.68,2784.16,1,0,0,0,0,0,0,1,1,0,0
113,2,3536-IQCTX,49.6,85.3,2661.1,0.0,0,1587.2,4248.3,1,0,0,0,0,0,1,0,1,0,0
114,0,3132-TVFDZ,0.0,44.85,2572.95,12.07,0,0.0,2560.8799999999997,1,0,0,0,0,0,0,1,1,0,0
115,2,8080-DDEMJ,15.28,45.1,45.1,0.0,0,15.28,60.38,0,0,0,0,0,1,1,0,1,0,0
116,0,6702-OHFWR,0.0,43.3,43.3,0.0,0,0.0,43.3,0,0,0,0,0,1,0,1,1,0,0
117,3,4510-PYUSH,26.1,57.15,2250.65,0.0,0,991.8000000000001,3242.4500000000003,1,0,0,0,0,0,0,1,0,1,0
118,0,8840-DQLGN,15.98,100.5,3653.35,0.0,0,559.3000000000001,4212.65,1,0,0,0,0,0,0,1,1,0,0
119,1,4193-ORFCL,15.24,45.1,45.1,0.0,0,15.24,60.34,0,0,0,0,0,1,1,0,0,1,0
120,0,7776-QWNFX,4.65,50.4,1527.5,0.0,0,139.5,1667.0,1,0,0,0,0,0,0,1,1,0,0
121,2,6689-TCZHQ,12.27,78.95,378.4,0.0,0,61.349999999999994,439.75,0,0,0,0,0,1,1,0,1,0,0
122,0,9497-QCMMS,30.17,93.55,93.55,0.0,0,30.17,123.72,0,0,0,0,0,1,0,1,1,0,0
123,0,3424-NMNBO,49.38,108.85,6287.25,0.0,0,2864.04,9151.29,1,0,0,0,0,0,0,1,1,0,0
124,0,4514-GFCFI,17.51,84.75,1350.15,0.0,0,280.16,1630.3100000000002,1,0,0,0,0,0,0,1,1,0,0
125,0,8000-REIQB,22.5,69.95,69.95,0.0,10,22.5,102.45,0,0,0,0,0,1,0,1,1,0,0
126,0,4795-KTRTH,47.28,81.0,371.65,40.64,10,236.4,577.41,0,0,0,0,0,1,0,1,1,0,0
127,0,9961-JBNMK,42.27,96.8,2030.3,10.2,0,887.6700000000001,2907.77,1,0,0,0,0,0,0,1,1,0,0
128,3,6179-GJPSO,31.83,108.15,4600.7,0.0,0,1368.6899999999998,5969.389999999999,1,0,0,0,0,0,0,1,0,1,0
129,0,8290-YWKHZ,33.74,93.2,2931.0,17.88,0,1079.68,3992.8,1,0,0,0,0,0,0,1,1,0,0
130,0,8051-HJRLT,18.2,70.55,70.55,0.0,0,18.2,88.75,0,0,0,0,0,1,0,1,1,0,0
131,0,4021-RQSNY,25.78,98.5,3004.15,37.55,40,747.62,3754.22,1,0,0,0,0,0,0,1,1,0,0
132,0,9061-TIHDA,31.7,95.25,1233.65,48.09,0,412.09999999999997,1597.66,1,0,0,0,0,0,0,1,1,0,0
133,3,8699-ASUFO,8.92,74.4,527.9,32.46,0,62.44,557.88,1,0,0,0,0,0,0,1,0,1,0
134,0,4695-WJZUE,21.57,88.55,179.25,0.0,0,43.14,222.39,1,0,0,0,0,0,0,1,1,0,0
135,0,3988-RQIXO,43.61,91.3,91.3,0.0,0,43.61,134.91,1,0,0,0,0,0,0,1,1,0,0
136,3,5931-FLJJF,16.05,70.1,467.55,20.23,0,112.35000000000001,559.67,1,0,0,0,0,0,0,1,0,1,0
137,0,3207-OYBWH,49.91,95.25,5427.05,12.59,0,2844.87,8259.33,1,0,0,0,0,0,0,1,1,0,0
138,0,7216-EWTRS,17.35,100.8,100.8,0.0,0,17.35,118.15,1,0,0,0,0,0,0,1,1,0,0
139,0,2528-HFYZX,1.05,76.45,1233.4,0.0,0,17.85,1251.25,1,0,0,0,0,0,0,1,1,0,0
140,0,4140-MUHUG,18.38,86.85,220.95,0.0,0,55.14,276.09,1,0,0,0,0,0,0,1,1,0,0
141,3,1587-FKLZB,28.86,99.5,6822.15,0.0,0,1904.76,8726.91,0,1,0,0,0,0,0,1,0,1,0
142,0,5440-FLBQG,48.88,108.4,7318.2,0.0,0,3372.7200000000003,10690.92,0,1,0,0,0,0,0,1,1,0,0
143,0,2774-LVQUS,44.13,83.05,1258.3,0.0,110,661.95,2030.25,1,0,0,0,0,0,0,1,1,0,0
144,0,4612-THJBS,34.58,104.75,5510.65,0.0,0,1936.48,7447.129999999999,1,0,0,0,0,0,0,1,1,0,0
145,0,4094-NSEDU,21.15,94.25,1973.75,0.0,0,444.15,2417.9,1,0,0,0,0,0,0,1,1,0,0
146,0,1846-XWOQN,47.97,70.15,70.15,0.0,0,47.97,118.12,1,0,0,0,0,0,0,1,1,0,0
147,2,3757-NJYBX,7.92,106.35,3520.75,0.0,0,253.44,3774.19,1,0,0,0,0,0,1,0,1,0,0
148,3,9898-KZQDZ,49.5,94.55,3640.45,0.0,0,1980.0,5620.45,1,0,0,0,0,0,0,1,0,1,0
149,3,8263-JQAIK,0.0,24.45,47.5,0.0,0,0.0,47.5,1,0,0,0,0,0,0,1,0,1,0
150,0,2205-YMZZJ,39.51,84.8,546.95,0.0,0,276.57,823.52,1,0,0,0,0,0,0,1,1,0,0
151,0,1254-IZEYF,39.36,99.95,3186.65,0.0,0,1220.16,4406.81,1,0,0,0,0,0,0,1,1,0,0
152,0,9221-OTIVJ,29.96,104.85,1531.4,0.0,0,419.44,1950.8400000000001,1,0,0,0,0,0,0,1,1,0,0
153,3,5908-QMGOE,23.53,74.2,1133.9,43.31,0,352.95000000000005,1443.5400000000002,1,0,0,0,0,0,0,1,0,1,0
154,0,0397-GZBBC,10.78,93.85,5574.75,8.13,0,636.02,6202.639999999999,1,0,0,0,0,0,0,1,1,0,0
155,0,7641-EUYET,49.11,100.7,4541.2,46.64,0,2259.06,6753.619999999999,1,0,0,0,0,0,0,1,1,0,0
156,0,8922-LIEGH,36.36,89.7,2187.55,23.33,0,909.0,3073.2200000000003,1,0,0,0,0,0,0,1,1,0,0
157,0,8245-UMPYT,32.11,96.4,1581.2,47.2,0,513.76,2047.76,1,0,0,0,0,0,0,1,1,0,0
158,0,5186-SAMNZ,41.2,69.5,69.5,0.0,80,41.2,190.7,1,0,0,0,0,0,0,1,1,0,0
159,3,5373-SFODM,24.54,85.25,3132.75,0.0,0,883.4399999999999,4016.19,1,0,0,0,0,0,0,1,0,1,0
160,1,0022-TCJCI,10.67,62.7,2791.5,0.0,0,480.15,3271.65,1,0,0,0,0,0,1,0,0,1,0
161,1,5130-IEKQT,46.34,105.95,2655.25,0.0,0,1158.5,3813.75,0,0,0,1,0,0,1,0,0,1,0
162,0,3269-ATYWD,41.93,95.65,3759.05,0.0,150,1635.27,5544.32,0,0,0,1,0,0,0,1,1,0,0
163,0,0354-WYROK,47.95,98.9,2911.3,0.0,0,1486.45,4397.75,0,0,0,1,0,0,0,1,1,0,0
164,0,7576-OYWBN,30.25,76.05,231.8,0.0,0,90.75,322.55,1,0,0,0,0,0,0,1,1,0,0
165,0,5539-TMZLF,33.84,69.75,69.75,0.0,0,33.84,103.59,1,0,0,0,0,0,0,1,1,0,0
166,0,3336-JORSO,17.24,110.45,3655.45,0.0,70,568.92,4294.37,0,0,0,1,0,0,0,1,1,0,0
167,0,6861-XWTWQ,42.92,99.25,665.45,0.0,0,300.44,965.8900000000001,1,0,0,0,0,0,0,1,1,0,0
168,0,4283-FUTGF,16.78,79.85,1471.75,0.0,0,318.82000000000005,1790.5700000000002,1,0,0,0,0,0,0,1,1,0,0
169,3,2397-BRLOM,26.99,80.45,583.45,0.0,0,215.92,799.37,1,0,0,0,0,0,0,1,0,1,0
170,0,8510-AWCXC,7.22,100.8,1308.1,0.0,0,93.86,1401.9599999999998,0,0,0,0,1,0,0,1,1,0,0
171,0,8225-BTJAU,7.51,79.25,793.55,0.0,0,75.1,868.65,0,0,0,0,1,0,0,1,1,0,0
172,0,1724-BQUHA,45.72,89.5,477.7,0.0,0,228.6,706.3,1,0,0,0,0,0,0,1,1,0,0
173,0,4826-XTSOH,38.78,86.05,86.05,0.0,0,38.78,124.83,1,0,0,0,0,0,0,1,1,0,0
174,0,2408-WITXK,0.0,34.7,329.8,0.0,0,0.0,329.8,0,0,0,0,1,0,0,1,1,0,0
175,0,2634-HCZGT,21.67,60.05,3229.65,0.0,100,1148.51,4478.16,1,0,0,0,0,0,0,1,1,0,0
176,3,7503-QQRVF,26.12,74.3,1178.25,0.0,0,417.92,1596.17,0,0,0,0,1,0,0,1,0,1,0
177,0,0709-TVGUR,17.56,74.55,622.9,33.25,0,158.04,747.6899999999999,1,0,0,0,0,0,0,1,1,0,0
178,0,3001-CBHLQ,43.51,104.9,3351.55,33.73,0,1392.32,4710.14,0,0,0,1,0,0,0,1,1,0,0
179,0,4102-OQUPX,17.36,74.4,74.4,0.0,30,17.36,121.76,1,0,0,0,0,0,0,1,1,0,0
180,0,3999-QGRJH,14.89,69.7,560.85,0.0,0,119.12,679.97,1,0,0,0,0,0,0,1,1,0,0
181,0,2454-RPBRZ,30.63,98.1,1060.2,49.06,0,367.56,1378.7,0,0,0,0,1,0,0,1,1,0,0
182,0,2265-CYWIV,18.91,99.6,347.65,25.79,0,75.64,397.49999999999994,1,0,0,0,0,0,0,1,1,0,0
183,0,4550-VBOFE,17.45,102.95,7101.5,15.24,0,1221.5,8307.76,1,0,0,0,0,0,0,1,1,0,0
184,0,7409-KIUTL,28.64,71.0,71.0,0.0,0,28.64,99.64,1,0,0,0,0,0,0,1,1,0,0
185,2,1732-VHUBQ,26.95,70.55,3309.25,26.99,0,1266.6499999999999,4548.91,1,0,0,0,0,0,1,0,1,0,0
186,0,0679-IDSTG,37.3,69.25,69.25,0.0,0,37.3,106.55,1,0,0,0,0,0,0,1,1,0,0
187,3,8802-UNOJF,28.63,83.8,1029.75,44.58,80,343.56,1408.73,0,0,0,0,1,0,0,1,0,1,0
188,0,6313-GIDIT,0.0,54.45,2854.55,20.16,0,0.0,2834.3900000000003,1,0,0,0,0,0,0,1,1,0,0
189,0,2845-AFFTX,22.56,99.8,4259.3,8.88,0,924.9599999999999,5175.38,1,0,0,0,0,0,0,1,1,0,0
190,3,2815-CPTUL,2.27,70.25,331.9,12.48,0,11.35,330.77,1,0,0,0,0,0,0,1,0,1,0
191,0,1891-FZYSA,16.34,89.95,6143.15,6.79,110,1127.46,7373.82,1,0,0,0,0,0,0,1,1,0,0
192,0,9685-WKZGT,16.32,74.95,1036.75,39.29,0,228.48000000000002,1225.94,0,0,0,0,1,0,0,1,1,0,0
193,0,6022-UGGSO,33.22,74.4,2276.95,44.31,0,1063.04,3295.68,0,0,0,1,0,0,0,1,1,0,0
194,0,3923-CSIHK,4.6,71.05,3444.85,0.0,0,229.99999999999997,3674.85,1,0,0,0,0,0,0,1,1,0,0
195,0,3677-IYRBF,0.0,30.4,78.65,0.0,0,0.0,78.65,1,0,0,0,0,0,0,1,1,0,0
196,0,8118-LSUEL,17.62,106.4,2483.5,0.0,0,405.26000000000005,2888.76,1,0,0,0,0,0,0,1,1,0,0
197,0,5277-ZLOOR,5.49,85.55,187.45,0.0,0,10.98,198.42999999999998,0,0,0,0,0,1,0,1,1,0,0
198,3,4248-HCETZ,6.23,79.65,2365.15,0.0,0,186.9,2552.05,0,0,0,1,0,0,0,1,0,1,0
199,0,9174-FKWZE,22.92,19.45,19.45,0.0,0,22.92,42.370000000000005,1,0,0,0,0,0,0,1,1,0,0
200,3,5307-DZCVC,48.95,85.95,2628.6,0.0,0,1566.4,4195.0,0,0,0,1,0,0,0,1,0,1,0
201,2,8679-JOEVF,36.83,59.4,1023.9,0.0,0,589.28,1613.1799999999998,1,0,0,0,0,0,1,0,1,0,0
202,0,4803-AXVYP,47.39,99.55,3734.25,0.0,0,1800.82,5535.07,0,0,0,1,0,0,0,1,1,0,0
203,3,5649-ANRML,12.96,95.1,180.25,0.0,0,25.92,206.17000000000002,0,0,0,0,0,1,0,1,0,1,0
204,2,7395-IGJOS,9.5,81.5,1329.2,0.0,0,161.5,1490.7,1,0,0,0,0,0,1,0,1,0,0
205,3,7890-VYYWG,0.0,36.45,93.7,0.0,0,0.0,93.7,0,0,0,0,0,1,0,1,0,1,0
206,1,9907-SWKKF,0.0,25.05,25.05,0.0,0,0.0,25.05,0,0,0,0,0,1,1,0,0,1,0
207,1,6397-JNZZG,0.0,55.55,2342.2,0.0,0,0.0,2342.2,0,0,1,0,0,0,1,0,0,1,0
208,0,7779-LGOVN,46.5,86.65,856.65,0.0,0,465.0,1321.65,1,0,0,0,0,0,0,1,1,0,0
209,0,9710-ZUSHQ,41.85,106.75,4056.75,0.0,0,1548.45,5605.2,0,0,0,1,0,0,0,1,1,0,0
210,0,3902-FOIGH,48.5,101.35,1218.55,0.0,0,582.0,1800.55,1,0,0,0,0,0,0,1,1,0,0
211,0,3318-OSATS,35.1,95.45,3474.05,0.0,80,1228.5,4782.55,0,0,0,1,0,0,0,1,1,0,0
212,0,2636-ALXXZ,45.8,69.6,69.6,0.0,0,45.8,115.39999999999999,0,0,0,0,0,1,0,1,1,0,0
